stationsname,gewaesser,km,lat,lon,wasserstand_cm,einheit,trend_label,status_label,abgerufen_utc
CELLE,ALLER,1.74,52.622706,10.062164,129.0,cm,,Normal,2026-07-18T14:38:08Z
MARKLENDORF,ALLER,38.47,52.682757,9.703456,109.0,cm,,Normal,2026-07-18T14:38:08Z
AHLDEN,ALLER,58.71,52.762431,9.570881,26.0,cm,,Niedrigwasser,2026-07-18T14:38:08Z
RETHEM,ALLER,82.32,52.789098,9.382841,59.0,cm,,Niedrigwasser,2026-07-18T14:38:08Z
EITZE,ALLER,107.75,52.904065,9.276769,237.0,cm,,Normal,2026-07-18T14:38:08Z
ERLAU,DONAU,2214.5,48.567382,13.586813,740.0,cm,,Normal,2026-07-18T14:38:08Z
ACHLEITEN,DONAU,2223.1,48.582047,13.503185,258.0,cm,,Unbekannt,2026-07-18T14:38:08Z
PASSAU ILZSTADT,DONAU,2225.2,48.575198,13.478017,431.0,cm,,Normal,2026-07-18T14:38:08Z
PASSAU DONAU,DONAU,2226.7,48.576133,13.459076,411.0,cm,,Normal,2026-07-18T14:38:08Z
KACHLET SCHLEUSE UP,DONAU,2230.3,48.578228,13.41269,57.0,cm,,Niedrigwasser,2026-07-18T14:38:08Z
VILSHOFEN,DONAU,2249.5,48.637297,13.182429,296.0,cm,,Niedrigwasser,2026-07-18T14:38:08Z
HOFKIRCHEN,DONAU,2256.9,48.676675,13.115154,183.0,cm,,Niedrigwasser,2026-07-18T14:38:08Z
DEGGENDORF,DONAU,2284.4,48.824944,12.96235,174.0,cm,,Niedrigwasser,2026-07-18T14:38:08Z
PFELLING,DONAU,2305.5,48.879766,12.747217,250.0,cm,,Niedrigwasser,2026-07-18T14:38:08Z
PFATTER,DONAU,2350.7,48.980436,12.383772,309.0,cm,,Normal,2026-07-18T14:38:08Z
SCHWABELWEIS,DONAU,2376.5,49.023583,12.138693,291.0,cm,,Normal,2026-07-18T14:38:08Z
REGENSBURG EISERNE BRÜCKE,DONAU,2379.3,49.021359,12.101827,196.0,cm,,Normal,2026-07-18T14:38:08Z
OBERNDORF,DONAU,2397.4,48.946969,12.014893,157.0,cm,,Niedrigwasser,2026-07-18T14:38:08Z
KELHEIMWINZER,DONAU,2409.7,48.911858,11.93206,257.0,cm,,Normal,2026-07-18T14:38:08Z
KELHEIM DONAU,DONAU,2414.8,48.916603,11.864627,215.0,cm,,Unbekannt,2026-07-18T14:38:08Z
INGOLSTADT LUITPOLDSTRASSE,DONAU,2458.3,48.757414,11.426054,144.0,cm,,Unbekannt,2026-07-18T14:38:08Z
HENRICHENBURG OW,DORTMUND-EMS-KANAL,14.3,51.616047,7.339002,70.05,m+NN,,Unbekannt,2026-07-18T14:38:08Z
HENRICHENBURG UW,DORTMUND-EMS-KANAL,15.9,51.621118,7.329425,56.55,m+NN,,Unbekannt,2026-07-18T14:38:08Z
LÜDINGHAUSEN,DORTMUND-EMS-KANAL,39.32,51.798113,7.401947,56.51,m+NN,,Unbekannt,2026-07-18T14:38:08Z
